sepal_length,sepal_width,petal_length,petal_width,true_class,true_class_name,loocv_prediction,loocv_prediction_name,loocv_correct,pc1,pc2
5.5,2.4,3.8,1.1,1,versicolor,1,versicolor,1,0.13079517549786174,-1.562271834209968
5.5,2.4,3.7,1.0,1,versicolor,1,versicolor,1,0.02345268897055189,-1.5724755942167048
5.8,2.7,3.9,1.2,1,versicolor,1,versicolor,1,0.24153827295451166,-0.777256382584842
6.0,2.7,5.1,1.6,1,versicolor,2,virginica,0,1.0610946088426152,-0.6338432447349475
5.4,3.0,4.5,1.5,1,versicolor,1,versicolor,1,0.22397877351238035,-0.28777351204320273
6.0,3.4,4.5,1.6,1,versicolor,1,versicolor,1,0.42913911551616074,0.8455822409050787
6.7,3.1,4.7,1.5,1,versicolor,1,versicolor,1,1.0487280512090877,0.5220517968629428
6.3,2.3,4.4,1.3,1,versicolor,1,versicolor,1,1.0445313843962805,-1.3829887191907821
5.6,3.0,4.1,1.3,1,versicolor,1,versicolor,1,0.06958832111642342,-0.21950333464771524
5.5,2.5,4.0,1.3,1,versicolor,1,versicolor,1,0.2834772382875765,-1.329324639069577
5.5,2.6,4.4,1.2,1,versicolor,1,versicolor,1,0.27907777605546197,-1.1200285237424041
6.1,3.0,4.6,1.4,1,versicolor,1,versicolor,1,0.624569791498572,0.02492302925401254
5.8,2.6,4.0,1.2,1,versicolor,1,versicolor,1,0.33653037013143666,-0.9884040176703605
5.0,2.3,3.3,1.0,1,versicolor,1,versicolor,1,-0.362183384619382,-2.0192378732386125
5.6,2.7,4.2,1.3,1,versicolor,1,versicolor,1,0.28858623882315826,-0.8557303199870668
5.7,3.0,4.2,1.2,1,versicolor,1,versicolor,1,0.09136065565450581,-0.18119212582577546
5.7,2.9,4.2,1.3,1,versicolor,1,versicolor,1,0.22771686553470066,-0.3849200809873541
6.2,2.9,4.3,1.3,1,versicolor,1,versicolor,1,0.5763882886534792,-0.15487359721655886
5.1,2.5,3.0,1.1,1,versicolor,1,versicolor,1,-0.44766701902861067,-1.5437920343977565
5.7,2.8,4.1,1.3,1,versicolor,1,versicolor,1,0.2567305888875854,-0.5988517961556697
6.3,3.3,6.0,2.5,2,virginica,2,virginica,1,1.8445688677230299,0.8704213123248229
5.8,2.7,5.1,1.9,2,virginica,2,virginica,1,1.157881613205781,-0.698869862330691
7.1,3.0,5.9,2.1,2,virginica,2,virginica,1,2.205266791075379,0.5620104770083555
6.3,2.9,5.6,1.8,2,virginica,2,virginica,1,1.4401506638275405,-0.046987588105806936
6.5,3.0,5.8,2.2,2,virginica,2,virginica,1,1.8678122203305385,0.29504482445701946
7.6,3.0,6.6,2.1,2,virginica,2,virginica,1,2.7518733356662777,0.8004092010275421
4.9,2.5,4.5,1.7,2,virginica,2,virginica,1,0.3670176878607259,-1.5615028914765068
7.3,2.9,6.3,1.8,2,virginica,2,virginica,1,2.3024394446251977,0.4200655796427763
6.7,2.5,5.8,1.8,2,virginica,2,virginica,1,2.006686467676607,-0.7114386535471595
7.2,3.6,6.1,2.5,2,virginica,2,virginica,1,2.2597773490125004,1.921010376459887
6.5,3.2,5.1,2.0,2,virginica,2,virginica,1,1.3641754921860083,0.692756454490387
6.4,2.7,5.3,1.9,2,virginica,2,virginica,1,1.6026786704779317,-0.42170044977261756
6.8,3.0,5.5,2.1,2,virginica,2,virginica,1,1.8839007017032434,0.4192496506051234
5.7,2.5,5.0,2.0,2,virginica,2,virginica,1,1.2601150991975092,-1.1622604214064645
5.8,2.8,5.1,2.4,2,virginica,2,virginica,1,1.4676452010173253,-0.4422715873770831
6.4,3.2,5.3,2.3,2,virginica,2,virginica,1,1.5900773176145666,0.67624480572332
6.5,3.0,5.5,1.8,2,virginica,2,virginica,1,1.471431461133319,0.2556218244714703
7.7,3.8,6.7,2.2,2,virginica,2,virginica,1,2.4263289873157006,2.556661250795493
7.7,2.6,6.9,2.3,2,virginica,2,virginica,1,3.310695583933889,0.017780949320626623
6.0,2.2,5.0,1.5,2,virginica,2,virginica,1,1.2637666736398299,-1.7067453803762687
6.9,3.2,5.7,2.3,2,virginica,2,virginica,1,2.0377163014694055,0.9104674096183109
5.6,2.8,4.9,2.0,2,virginica,2,virginica,1,0.9779807342494228,-0.5717643248129924
7.7,2.8,6.7,2.0,2,virginica,2,virginica,1,2.89765149073417,0.4136410595956475
6.3,2.7,4.9,1.8,2,virginica,2,virginica,1,1.33323217597321,-0.48181121864942966
6.7,3.3,5.7,2.1,2,virginica,2,virginica,1,1.7007338974912176,1.0139218673227914
7.2,3.2,6.0,1.8,2,virginica,2,virginica,1,1.9543267058530716,1.0077775961534525
6.2,2.8,4.8,1.8,2,virginica,2,virginica,1,1.1751036315549335,-0.31639447230979134
6.1,3.0,4.9,1.8,2,virginica,2,virginica,1,1.0209505506957919,0.0643460292395616
6.4,2.8,5.6,2.1,2,virginica,2,virginica,1,1.7883499201796669,-0.18736121459082922
7.2,3.0,5.8,1.6,2,virginica,2,virginica,1,1.8636475533282617,0.5622907258861446
7.4,2.8,6.1,1.9,2,virginica,2,virginica,1,2.4359537279227044,0.2592844331442802
7.9,3.8,6.4,2.0,2,virginica,2,virginica,1,2.3049277218317643,2.6263234682323793
6.4,2.8,5.6,2.2,2,virginica,2,virginica,1,1.862703219794957,-0.17854949462549083
6.3,2.8,5.1,1.5,2,virginica,1,versicolor,0,1.1141477406864755,-0.2929226233357317
6.1,2.6,5.6,1.4,2,virginica,2,virginica,1,1.2024733016783922,-0.8113152708396694
7.7,3.0,6.1,2.3,2,virginica,2,virginica,1,2.7987704475781086,0.8568033294971055
6.3,3.4,5.6,2.4,2,virginica,2,virginica,1,1.5762559101947546,1.0685811073208074
6.4,3.1,5.5,1.8,2,virginica,2,virginica,1,1.3462921036270625,0.4224306108525082
6.0,3.0,4.8,1.8,2,virginica,2,virginica,1,0.92482491654242,0.017223100452283896
6.9,3.1,5.4,2.1,2,virginica,2,virginica,1,1.8520450517676708,0.6761281744365215
6.7,3.1,5.6,2.4,2,virginica,2,virginica,1,2.0148104299548764,0.6138856369235748
6.9,3.1,5.1,2.3,2,virginica,2,virginica,1,1.90178409026219,0.6895754942430027
5.8,2.7,5.1,1.9,2,virginica,2,virginica,1,1.157881613205781,-0.698869862330691
6.8,3.2,5.9,2.3,2,virginica,2,virginica,1,2.0405582280520935,0.8675206009552283
6.7,3.3,5.7,2.5,2,virginica,2,virginica,1,1.9981470959523768,1.0491687471841449
6.7,3.0,5.2,2.3,2,virginica,2,virginica,1,1.8705032929564116,0.3869660816657254
6.3,2.5,5.0,1.9,2,virginica,2,virginica,1,1.5645804830303294,-0.8966868088965267
6.5,3.0,5.2,2.0,2,virginica,2,virginica,1,1.5211704996278386,0.2690691442779515
6.2,3.4,5.4,2.3,2,virginica,2,virginica,1,1.3727877895140734,1.0112544185267927
5.9,3.0,5.1,1.8,2,virginica,2,virginica,1,0.9606560300371286,-0.02433166816939971
